assignment_index,label_seed,cv_r2,in_sample_r2,pearson_label_hz_outcome
363,20261081,-0.007259231069734584,0.0018192434404180613,-0.03429873691927415
364,20261082,-0.004911464779050689,0.003152461734482137,0.00588297890577532
365,20261083,-0.007374254563880633,0.002501319165795546,-0.026282969571612066
366,20261084,-0.006336155302846036,0.00028429812818431266,0.013557665072998229
367,20261085,-0.003238359615841402,0.0035028237339341795,0.03078652887712792
368,20261086,-0.007360108091396311,0.0005470177085861172,0.00632433724622029
369,20261087,-0.008198968443372756,0.0006740002461821382,0.021080788643842777
370,20261088,-0.007713099108394017,0.0006813548218376209,-0.011317610622245294
371,20261089,-0.00481934181968402,0.0027991033133581977,0.023885845169703667
372,20261090,-0.003798078133041116,0.0019356071374440065,0.025460054717311668
373,20261091,-0.008274874438711999,0.0010859656481523317,0.020250311418022752
374,20261092,-0.0023007673294030972,0.0026969389258024723,0.009514410669180882
375,20261093,-0.0007874499501765442,0.0038487664300654867,0.01949179552257469
376,20261094,-0.010210582316878325,7.99820311073729e-05,-0.006336549893588227
377,20261095,-0.004546038692688548,0.001006252248206163,-0.018259087940337655
378,20261096,0.0006676068338271612,0.005283314309205922,0.02216559851662706
379,20261097,-0.0035406602194016923,0.0007713827663970996,0.010800130679665313
380,20261098,-0.006392726337129728,0.002216672482679094,0.01888771789636416
381,20261099,-0.006894103823993136,0.0009176804846590114,-0.0018372673707067323
382,20261100,0.004031981490561276,0.010993661276461841,-0.07635408100315964
383,20261101,0.0018695788612252962,0.010245234889478483,0.04798774797943339
384,20261102,-0.006215207641669052,0.00034648674854187433,0.016152346997501642
385,20261103,-0.0035950756603964074,0.0003531567358139309,-0.01334462963358768
386,20261104,-0.00564210509866947,0.0029777870423992603,0.03398750180235871
387,20261105,-0.0022161975197874106,0.0019072907358798075,0.015305288442139624
388,20261106,-0.005734384316557595,0.002207931360469595,-0.011160749283504518
389,20261107,-0.0074357304186163375,0.00462444713834731,0.01776930494975397
390,20261108,-0.010409733396232745,0.00017267743640969613,-0.010908146836168784
391,20261109,-0.00623020773122418,0.0032220629798730416,0.05489604188854806
392,20261110,-0.0016965058513245257,0.001957532073945778,-0.036180289498798285
393,20261111,-0.004178145242364595,0.0032029859927455995,-0.0525653250188312
394,20261112,-0.004320365549731919,0.004483605657658818,-0.05441231219080818
395,20261113,-0.010344173254071887,0.0010936453129947177,0.024106254198863156
396,20261114,-0.007589567058872149,0.002023633053483187,-0.03451815795694617
397,20261115,-0.01239089889232381,0.0006128953565549544,-0.0002615480306166435
398,20261116,-0.0031515138922730834,0.0024640342426009987,0.017943783967149227
399,20261117,-0.002079814013843828,0.002181682472170432,0.014444629994617337
400,20261118,-0.005381236149261559,0.003302981893407275,0.04321343175288799
401,20261119,-0.0024720583155368736,0.003809756318402635,-0.05936122366800516
402,20261120,-0.00517519895649432,0.004109851237753315,-0.06359667669476703
403,20261121,-0.006304903938336492,0.002470115325093003,-0.018906857267882646
404,20261122,-0.005832799535906874,0.00014264579740874694,-0.005593767648260336
405,20261123,-0.003249391717437211,0.004233482350667672,0.06114326723865643
406,20261124,-0.009708766566947746,0.0002228474462853125,-0.014069049136632622
407,20261125,-0.00047174510803627,0.004333292794537091,-0.044627819008548744
408,20261126,-0.0032387156345978774,0.000735840450162506,-0.022240655510512488
